minutes_to_metro,number_of_rooms,area,living_area,kitchen_area,floor,number_of_floors,distance_to_centre,type_secondary,price
3.0,4.0,192.0,122.0,28.0,7.0,8,2.14,1,130000000.0
11.0,4.0,182.0,142.0,25.0,6.0,10,2.68,1,165000000.0
2.0,4.0,145.5,100.0,20.0,2.0,8,1.98,1,75000000.0
7.0,4.0,84.97,8.0,13.7,3.0,5,1.69,1,79000000.0
5.0,5.0,162.7,112.0,8.0,7.0,8,1.69,1,225000000.0
5.0,5.0,238.0,182.0,15.4,8.0,9,1.69,1,261800000.0
2.0,5.0,270.0,138.6,29.0,9.0,11,1.98,1,249990000.0
5.0,5.0,370.0,189.2,37.3,5.0,6,3.06,1,275000000.0
7.0,5.0,227.5,117.1,25.5,6.0,12,4.8,1,341000000.0
9.0,5.0,305.0,156.3,31.9,2.0,6,4.8,1,350000000.0
12.0,5.0,162.0,84.0,20.0,36.0,44,8.35,1,145000000.0
7.0,5.0,200.0,140.0,20.0,4.0,15,2.14,1,249000000.0
12.0,5.0,285.0,20.0,22.0,7.0,7,3.06,1,330000000.0
11.0,5.0,284.0,145.7,30.1,16.0,17,3.46,1,340000000.0
4.0,5.0,134.7,84.0,11.7,2.0,4,1.77,1,60000000.0
6.0,5.0,210.2,122.0,15.0,16.0,16,4.8,1,270000000.0
7.0,5.0,209.0,107.8,23.9,16.0,16,4.8,1,271700000.0
9.0,5.0,300.0,165.0,50.0,5.0,10,3.46,1,214990000.0
9.0,5.0,208.9,107.7,23.9,16.0,16,4.8,1,271700000.0
8.0,5.0,214.9,113.7,50.0,7.0,15,2.32,1,93000000.0
10.0,5.0,218.3,20.0,24.7,19.0,57,7.14,1,160000000.0
10.0,5.0,219.0,120.0,20.0,16.0,57,7.14,1,160000000.0
10.0,5.0,250.0,168.0,18.0,3.0,5,1.42,1,250000000.0
9.0,5.0,125.0,7.0,17.0,4.0,6,1.37,1,116000000.0
5.0,5.0,300.0,208.0,74.0,3.0,6,3.93,1,450000000.0
13.0,5.0,165.0,100.0,40.0,35.0,44,8.35,1,145000000.0
2.0,5.0,253.8,20.0,27.6,4.0,8,0.15,1,470000000.0
10.0,5.0,215.0,20.0,24.4,9.0,57,7.14,1,145000000.0
7.0,5.0,95.0,50.2,14.5,15.0,18,5.15,1,56000000.0
28.0,5.0,135.0,20.0,17.8,7.0,14,8.35,1,83999000.0
9.0,5.0,190.2,15.0,22.4,6.0,6,1.35,1,159500000.0
18.0,5.0,142.0,10.0,18.4,13.0,13,5.21,1,55000000.0
13.0,5.0,161.0,83.5,20.0,36.0,44,8.35,1,145000000.0
3.0,5.0,220.0,15.0,24.8,3.0,5,1.42,1,149000000.0
8.0,5.0,136.0,100.0,20.0,2.0,6,1.65,1,68000000.0
8.0,5.0,133.0,90.0,15.0,23.0,24,6.7,1,77000000.0
10.0,5.0,230.0,15.0,25.7,7.0,7,1.42,1,260000000.0
8.0,5.0,201.6,48.3,23.3,1.0,7,4.8,1,400000000.0
5.0,5.0,296.0,212.4,32.2,7.0,7,0.31,1,382500000.0
7.0,5.0,320.0,163.9,33.1,7.0,8,0.94,1,720000000.0
12.0,5.0,182.0,80.0,52.5,7.0,16,3.46,1,123490000.0
5.0,5.0,282.0,20.0,30.0,2.0,6,1.42,1,250000000.0
8.0,5.0,209.0,107.8,23.9,16.0,18,3.93,1,271700000.0
12.0,5.0,150.0,120.0,15.0,27.0,34,7.14,1,57500000.0
11.0,5.0,150.0,120.0,15.0,2.0,6,2.8,1,64999000.0
15.0,5.0,206.0,126.0,16.0,8.0,30,11.33,1,90000000.0
12.0,5.0,280.0,143.7,29.8,21.0,35,12.16,1,137200000.0
6.0,5.0,242.0,15.0,26.7,6.0,7,0.94,1,149000000.0
10.0,5.0,552.0,150.0,35.0,44.0,44,7.14,1,190000000.0
5.0,5.0,282.0,20.0,30.0,2.0,6,1.42,1,250000000.0
28.0,5.0,136.0,98.0,15.0,2.0,14,8.35,1,61488700.0
28.0,5.0,137.0,82.0,15.0,8.0,12,8.35,1,100899000.0
10.0,5.0,150.0,78.0,19.0,20.0,22,7.98,1,120000000.0
12.0,5.0,245.0,126.0,26.9,14.0,18,3.06,1,275000000.0
9.0,5.0,188.4,97.4,22.2,6.0,6,1.76,1,359999965.0
4.0,5.0,129.0,67.7,20.0,5.0,8,1.98,1,82000000.0
6.0,5.0,189.0,140.0,22.0,3.0,5,1.37,1,89000000.0
11.0,5.0,183.0,125.3,52.7,6.0,17,3.46,1,124990000.0
12.0,5.0,200.0,170.0,21.0,25.0,28,9.25,1,71999000.0
6.0,5.0,188.0,10.0,22.2,3.0,5,1.29,1,89000000.0
13.0,5.0,206.3,36.0,23.7,3.0,6,8.35,1,240680000.0
5.0,5.0,120.0,86.0,20.0,2.0,4,1.69,1,48000000.0
10.0,5.0,208.6,155.0,20.0,8.0,23,13.2,1,77000000.0
2.0,5.0,170.0,105.0,15.0,4.0,6,1.76,1,119000000.0
5.0,5.0,175.0,112.0,20.0,4.0,5,1.42,1,125000000.0
8.0,5.0,198.8,102.6,23.1,4.0,10,2.8,1,180000000.0
3.0,5.0,289.0,148.2,30.6,9.0,10,1.69,1,243000000.0
12.0,5.0,208.0,14.2,23.8,16.0,16,3.93,1,271000000.0
7.0,5.0,305.0,178.0,25.0,2.0,7,0.69,1,325000000.0
7.0,5.0,227.0,116.9,25.4,6.0,12,4.8,1,341000000.0
15.0,5.0,125.0,93.0,20.0,3.0,3,1.65,1,54900000.0
4.0,5.0,136.0,100.0,20.0,4.0,9,5.5,1,69000000.0
6.0,5.0,190.0,25.0,22.4,13.0,14,2.97,1,99844800.0
8.0,5.0,200.0,103.2,23.2,4.0,13,2.8,1,179000000.0
3.0,5.0,289.0,20.0,30.6,9.0,10,1.69,1,242970000.0
5.0,5.0,192.3,15.0,22.5,2.0,6,1.37,1,120000000.0
8.0,5.0,200.8,103.6,23.3,1.0,9,4.8,1,400000000.0
12.0,5.0,260.0,133.6,28.2,6.0,9,1.37,1,450000000.0
9.0,5.0,135.0,12.0,17.8,2.0,7,0.69,1,60000000.0
8.0,5.0,198.8,123.3,16.9,4.0,10,2.8,1,180000000.0
16.0,5.0,202.0,145.0,22.0,5.0,9,3.93,1,330000000.0
29.0,5.0,297.5,15.0,31.3,28.0,52,8.35,1,360000000.0
6.0,5.0,202.0,117.0,12.0,1.0,7,4.8,1,400000000.0
8.0,5.0,234.7,120.8,26.1,2.0,3,8.81,1,125000000.0
8.0,5.0,243.6,125.3,26.8,3.0,3,8.81,1,150000000.0
6.0,5.0,200.0,12.0,23.2,3.0,6,1.65,1,155000000.0
10.0,5.0,370.0,152.0,44.0,5.0,6,8.35,1,351500000.0
6.0,5.0,192.5,130.0,53.8,7.0,11,5.15,1,76000000.0
5.0,5.0,317.7,212.0,30.0,25.0,27,8.81,1,89989000.0
4.0,5.0,226.2,161.0,24.0,7.0,10,13.2,1,92000000.0
4.0,5.0,153.0,100.0,41.0,4.0,4,2.68,1,98500000.0
11.0,5.0,184.0,18.0,21.9,4.0,5,1.42,1,142000000.0
9.0,5.0,250.5,160.0,10.5,3.0,8,1.98,1,157300000.0
8.0,5.0,180.0,77.0,35.0,16.0,24,3.06,1,160000000.0
7.0,5.0,190.0,70.0,50.0,10.0,21,3.46,1,176000000.0
7.0,5.0,184.0,117.0,9.0,17.0,21,3.46,1,195000000.0
6.0,5.0,177.0,98.0,18.0,3.0,7,0.94,1,199000000.0
14.0,5.0,317.7,162.7,32.9,5.0,5,13.74,1,200000000.0
6.0,5.0,320.0,30.0,33.1,4.0,4,0.82,1,218000000.0
6.0,5.0,190.0,98.2,22.4,5.0,7,0.94,1,242000000.0
8.0,5.0,209.0,170.0,30.0,16.0,16,4.8,1,271000000.0
6.0,5.0,193.0,135.0,30.0,2.0,6,1.42,1,295500000.0
5.0,5.0,136.0,98.0,15.0,2.0,14,8.35,1,61488700.0
10.0,5.0,181.4,115.0,20.0,4.0,5,1.42,1,140000000.0
6.0,5.0,229.0,172.0,15.0,8.0,9,2.14,1,154000000.0
14.0,5.0,178.0,165.0,21.4,6.0,8,8.35,1,180000000.0
10.0,5.0,232.0,18.7,25.8,4.0,7,8.35,1,195000000.0
6.0,5.0,177.0,134.0,25.0,3.0,7,0.94,1,199000000.0
5.0,5.0,136.0,69.0,20.0,2.0,14,8.35,1,62000000.0
3.0,5.0,229.0,130.0,25.0,7.0,8,1.98,1,128000000.0
5.0,5.0,172.0,111.0,13.0,4.0,5,1.42,1,130000000.0
1.0,5.0,350.0,16.0,35.6,17.0,17,2.8,1,150000000.0
11.0,5.0,196.8,30.0,22.9,5.0,6,1.98,1,230000000.0
3.0,5.0,288.8,180.0,20.0,9.0,11,1.69,1,243000000.0
10.0,5.0,310.9,255.0,25.0,1.0,5,1.42,1,270000000.0
12.0,5.0,245.0,140.0,12.0,14.0,18,3.06,1,275000000.0
